연번,업종,업소명,주소,연락처,데이터기준일자
1,국내여행업,(주)백제관광,대전광역시 중구 인창로6번길 11 (대흥동),042-627-0495,2024-12-20
2,국내외여행업,진DoL,"대전광역시 중구 대종로488번길 54, 수정빌딩 7층 706호 (은행동)",,2024-12-20
3,국내외여행업,(주)산수관광,"대전광역시 중구 대종로 509, 302호 (선화동, 소청1번가)",042-222-8881,2024-12-20
4,종합여행업,드림저니(Dream Journey),"대전광역시 중구 목척1길 21, 208호 (은행동)",,2024-12-20
5,종합여행업,주식회사 씨씨,대전광역시 중구 오류동 177-26 은연제 ,,2024-12-20
6,종합여행업,주식회사 케이위드유,대전광역시 중구 중촌동 412-5 ,,2024-12-20
7,국내외여행업,㈜일등여행사,"대전광역시 중구 계백로 1619, 벽산프라자 401-1호 (유천동)",042-537-6100,2024-12-20
8,종합여행업,(주)대전닥스항공여행사,"대전광역시 중구 계백로 1712, 306호 (문화동, 기독교연합봉사회관)",042-221-0220,2024-12-20
9,종합여행업,(주)뉴가나항공여행사,"대전광역시 중구 계룡로 922, 203호 (문화동, 하우스토리2차)",042-222-8801,2024-12-20
10,국내외여행업,투어라인,"대전광역시 중구 보문로 246, 대림빌딩 B126, B127호 (대흥동)",,2024-12-20
11,종합여행업,(주)케이항공여행사,대전광역시 중구 용두동 113-12 204호,,2024-12-20
12,국내외여행업,(주)빙그레세계일주관광여행사,"대전광역시 중구 대종로550번길 5, 유원오피스텔 1409호 (선화동)",042-222-7470,2024-12-20
13,국내외여행업,(주)비발디투어,"대전광역시 중구 선화로 126, 2층 (선화동)",042-221-3131,2024-12-20
14,국내외여행업,주식회사 리더관광,"대전광역시 중구 중앙로 133, 1층 (선화동)",042-255-6969,2024-12-20
15,국내외여행업,(주)에스앤제이글로벌,"대전광역시 중구 대둔산로 419-4, 한밭프라자 607호 (산성동)",489-0627,2024-12-20
16,국내외여행업,새연여행사,"대전광역시 중구 안영로 20, 1층 101호 (안영동, 스마트빌)",042-587-6377,2024-12-20
17,종합여행업,(주)블루여행클럽,"대전광역시 중구 대종로488번길 54, 수정빌딩 5층 510호 (은행동)",,2024-12-20
18,국내외여행업,투어랑,"대전광역시 중구 동서대로 1388, 상가동 126호 (목동, 금호한사랑아파트)",,2024-12-20
19,국내외여행업,아주관광여행사,"대전광역시 중구 대종로488번길 54, 수정빌딩 724호 (은행동)",042-532-7771,2024-12-20
20,종합여행업,(주)중도일보사,"대전광역시 중구 계룡로 832, 5층 (오류동)",042-220-1041,2024-12-20
21,국내외여행업,인터넷투어(주),대전광역시 중구 대흥로 81-1 (대흥동),042-252-6012,2024-12-20
22,국내외여행업,오가네 투어,"대전광역시 중구 대종로 487, 아이원빌딩 8층 8028호 (대흥동)",,2024-12-20
23,국내외여행업,주식회사 필펀투어,"대전광역시 중구 계룡로 799, 204호 (용두동)",,2024-12-20
24,종합여행업,(주)리빙인터내셔널,"대전광역시 중구 대종로488번길 54, 수정빌딩 704호 (은행동)",,2024-12-20
25,국내외여행업,(주)대원고속관광,"대전광역시 중구 태평로44번길 27, 309호 (유천동, 현암에버드림아파트)",042-242-5050,2024-12-20
26,국내외여행업,세이항공여행사,"대전광역시 중구 계백로 1719, 1123호 (오류동,센트리아오피스텔)",042-523-3827,2024-12-20
27,국내외여행업,호야투어,"대전광역시 중구 계백로1615번길 45, 3층 (유천동)",042-526-3050,2024-12-20
28,국내외여행업,베스트투어,"대전광역시 중구 당디로6번길 69, 3층 (문화동)",,2024-12-20
29,국내외여행업,보니쓰 투어,"대전광역시 중구 계백로1716번길 26, 미성프라자 203호 (문화동)",,2024-12-20
30,종합여행업,아이메디,대전광역시 중구 뿌리공원로7번길 36 (안영동),,2024-12-20
31,국내여행업,울릉도 탑투어,대전광역시 중구 대흥로24번길 33 (대사동),042-242-1300,2024-12-20
32,국내여행업,모두평화미소여행사,"대전광역시 중구 대둔산로 419-4, 한밭프라자 8층 4-1호 (산성동)",,2024-12-20
33,국내여행업,놀자투어,"대전광역시 중구 보문로 294, 1층 (선화동)",042-255-6086,2024-12-20
34,국내외여행업,드림 컴 투어,"대전광역시 중구 중교로 13, 호강빌딩 4층 (대흥동)",,2024-12-20
35,국내외여행업,한밭고속관광(주),"대전광역시 중구 대전천서로 755-1, 2층 (중촌동)",042-537-9055,2024-12-20
36,종합여행업,㈜제이어스,"대전광역시 중구 중앙로119, 901호(선화동)",042-864-4500,2024-12-20
37,국내외여행업,(주)백제관광,대전광역시 중구 인창로6번길 11 (대흥동),042-627-0495,2024-12-20
38,국내외여행업,(주)현정투어,"대전광역시 중구 계백로 1690, 홈플러스데스콤㈜문화점 지하1층 (문화동)",,2024-12-20
39,국내외여행업,디어트래블(주),"대전광역시 중구 계백로 1690, 지하1층 (문화동, 홈플러스문화점)",042-221-3323,2024-12-20
40,종합여행업,(주)에버투어,"대전광역시 중구 보문로 337, 선화현대빌딩 405-1호 (선화동)",042-252-5353,2024-12-20
41,국내외여행업,코스모스항공(주),"대전광역시 중구 동서대로1440번길 5, 206호 (선화동, 아르젠)",042-255-9873,2024-12-20
42,종합여행업,(주)토토투어,"대전광역시 중구 대흥로 52, 2층 (대흥동)",042-252-7725,2024-12-20
43,종합여행업,(주)투어피플,"대전광역시 중구 태평로 71, 삼부프라자 203호 (태평동)",042-537-1135,2024-12-20
44,종합여행업,아리랑여행사,"대전광역시 중구 목중로26번길 16, 2층 (중촌동)",,2024-12-20
45,국내여행업,크로바관광여행사,"대전광역시 중구 사정공원로 70, 대전동물원 종합관리동 1층 (사정동)",042-586-2680,2024-12-20
46,국내외여행업,(주)헤라항공여행사,대전광역시 중구 보문로 294 (선화동),,2024-12-20
47,국내외여행업,해피여행사,"대전광역시 중구 계백로 1719, 센트리아오피스텔 1418호 (오류동)",,2024-12-20
48,종합여행업,지아이엘(주),"대전광역시 중구 대흥로169번길 49, 3층 (대흥동)",,2024-12-20
49,국내외여행업,주식회사 드림컴퍼니,"대전광역시 중구 중앙로122번길 17, 대일빌딩 8층 (대흥동)",042-226-7397,2024-12-20
50,국내외여행업,한울여행사,"대전광역시 중구 수침로55번길 35, 3층 (태평동, 선진빌딩)",,2024-12-20
51,종합여행업,선헬스케어인터내셔널(주),"대전광역시 중구 대종로 645, 부원빌딩 지하1층 (중촌동)",042-251-5293,2024-12-20
52,국내외여행업,여명여행사,"대전광역시 중구 대종로692번길 32-4, 201호 (중촌동)",042-526-1110,2024-12-20
53,국내여행업,(주) 워크인투코리아,대전광역시 중구 동서대로 1352 (용두동),,2024-12-20
54,국내외여행업,세트협동조합,"대전광역시 중구 대종로488번길 54, 711호",,2024-12-20
55,국내외여행업,(합)귀빈항공여행사,"대전광역시 중구 계룡로 832 (오류동,올리브빌딩 1층)",042-257-2400,2024-12-20
56,국내외여행업,(주)대림투어,"대전광역시 중구 대종로488번길 54, 수정빌딩 720호 (은행동)",042-254-6058,2024-12-20
57,종합여행업,(주)마루이앤티,"대전광역시 중구 대전천서로 351, 203호 (문창동)",,2024-12-20
58,국내외여행업,주식회사동행서가,"대전광역시 중구 선화서로19번길 15, 지하1층",,2024-12-20
59,종합여행업,플라잉투어,"대전광역시 중구 동서대로 1324, 1층 (용두동)",,2024-12-20
60,국내외여행업,(주)트랜스월드투어,"대전광역시 중구 충무로 1, 2층 (대흥동)",042-536-4589,2024-12-20
61,종합여행업,야호관광(주),대전광역시 중구 중앙로 127 (선화동),042-253-5959,2024-12-20
62,국내여행업,힐링투어,"대전광역시 중구 평촌로 111, 401동 307호 (태평동, 태평아파트상가)",042-533-5100,2024-12-20
63,국내외여행업,하나우리여행사,"대전광역시 중구 테미로 32, 지하1층 (대흥동)",042-257-2358,2024-12-20
64,국내외여행업,(주)올림픽관광,"대전광역시 중구 보문로 328, 2층 (선화동)",042-252-8888,2024-12-20
65,국내여행업,여행이 필요한 시간,"대전광역시 중구 대종로 487, 아이원빌딩 8층 8066호 (대흥동)",,2024-12-20
66,종합여행업,(주)우리에이전시,"대전광역시 중구 보문로 294, 1층 (선화동)",042-253-6583,2024-12-20
67,국내외여행업,영투어전국고속관광,"대전광역시 중구 보문로 138-1, 1층 (대사동)",042-256-1116,2024-12-20
68,국내외여행업,한화고속관광,"대전광역시 중구 계백로 1535, 1층 (태평동)",042-581-3381,2024-12-20
69,종합여행업,(주)여행신화,"대전광역시 중구 대종로488번길 54, 수정빌딩 714호 (은행동)",042-633-1717,2024-12-20
70,종합여행업,(주)스펙트럼(Spectrum Inc.),대전광역시 중구 문화로105번길 57 (유천동),,2024-12-20
71,국내외여행업,(합)푸른하늘여행사,대전광역시 중구 돌다리로 21 (석교동),042-255-3365,2024-12-20
72,국내여행업,마을담다,"대전광역시 중구 목척8길 11, 104호 (은행동)",042-322-0320,2024-12-20
73,국내여행업,엠에스투어,"대전광역시 중구 중앙로 28, 306호 (문화동, 센트럴스타클래스)",042-534-7878,2024-12-20
74,종합여행업,(합)한밭관광여행사,"대전광역시 중구 중앙로 28, 306호 (문화동, 센트럴스타클래스)",042-252-5915,2024-12-20
75,국내여행업,(주)한화투어,"대전광역시 중구 대종로593번길 14, 201호 (선화동, 세진빌딩)",042-221-1261,2024-12-20
76,국내외여행업,명투어,"대전광역시 중구 대종로488번길 54, 수정빌딩 719호 (은행동)",,2024-12-20
77,국내외여행업,티앤에스 코리아 (TNS KOREA),"대전광역시 중구 계백로 1719, 센트리아오피스텔 809호 (오류동)",042-471-8098,2024-12-20
78,국내외여행업,금수관광협동조합,"대전광역시 중구 계룡로 932-1, 2층 (대사동)",042-252-6100,2024-12-20
79,국내여행업,주식회사 지트,"대전광역시 중구 대종로488번길 54, 수정빌딩 504호 (은행동)",,2024-12-20
80,국내외여행업,C&U여행,"대전광역시 중구 동서대로 1193, 2층 (태평동)",,2024-12-20
81,국내여행업,주식회사 놀만,"대전광역시 중구 대종로517번길 27, 4층 (선화동)",042-255-3446,2024-12-20
82,종합여행업,대영미래,"대전 중구 대종로 62번길69, 2층",1666-5523,2024-12-20
